"plant_id","tray","pot_pos","geno","geno2","shelf","treatment","envelope","rep","cross","bd","h2_h1","h3_h2","h3_h1","i_dry","r_dry"
"8H4002_2","8H4002",2,"28RV436","122",4,"Sun",1499,3,"jea_col",0.888521299216401,-1.46431660553353,-2.16153723124343,-2.27613671137849,-0.547629507633619,0.0468659182132274
"8H4002_3","8H4002",3,"8RV332","112",4,"Sun",1049,3,"cvi_col",-0.823373927890408,-1.67662465759189,0.479765240389381,-0.850404169362451,1.49975051074495,0.0648330827458133
"8H4002_4","8H4002",4,"27RV130","38",4,"Sun",790,3,"oy_col",-0.041586431398386,0.130553695201923,-0.114153259353538,-0.036186589734136,0.597210478388666,-0.413501989415722
"8H4002_5","8H4002",5,"236AV","Sha",4,"Sun",514,3,"accession",-0.477416775850869,-1.51643302395574,0.829605127314498,-0.508307272948435,0.280900713422743,0.399864270992189
"8H4002_7","8H4002",7,"6924","HR-5",4,"Sun",1597,3,"accession",1.25567441751391,1.46058722559794,-0.114153259353555,1.05465100894484,2.63685548034149,1.91533553437443
"8H4002_8","8H4002",8,"8RV140","47",4,"Sun",1048,3,"cvi_col",0.206208781238798,-1.11393304382448,0.721433745902751,-0.335916053797486,0.499419772204044,0.842405993902051
"8H4003_1","8H4003",1,"20RV517","145",4,"Sun",1488,3,"bur_col",0.888521299216401,-1.90117221802091,-0.951373297143237,-1.88104438125527,-0.139486736392181,1.27285997659238
"8H4003_10","8H4003",10,"21RV061","20",4,"Sun",509,3,"blh_col",-0.477416775850869,-1.01772658446605,0.41292908854719,-0.492671132477012,-0.158641600920254,0.0992026985840523
"8H4003_11","8H4003",11,"13RV303","95",4,"Sun",776,3,"sha_col",-0.041586431398386,-0.467628074861939,0.164220445605791,-0.288752588228398,0.365180039158276,0.163797275599457
"8H4003_12","8H4003",12,"8335","PA-1",4,"Sun",1384,3,"accession",0.717352592007723,1.82843679546163,-0.746990502894239,0.957359858707436,1.46423435191171,0.851121303317929
"8H4003_13","8H4003",13,"8RV081","30",4,"Sun",1385,3,"cvi_col",0.717352592007723,0.536950579501293,-0.522849284496642,0.0113568759849923,1.53672347796207,1.53902421933316
"8H4003_14","8H4003",14,"8RV493","147",4,"Sun",510,3,"cvi_col",-0.477416775850869,-0.806427899690772,0.141314085958641,-0.539557691304641,-0.610185355671746,-0.302137644075508
"8H4003_15","8H4003",15,"13RV432","131",4,"Sun",1487,3,"sha_col",0.888521299216401,-1.49030078687874,-0.352372172934729,-1.29533492271609,0.0437670677358983,1.16935037750849
"8H4003_16","8H4003",16,"20RV123","31",4,"Sun",NA,3,"bur_col",1.38286460619163,0.948988397371548,NA,NA,NA,NA
"8H4003_2","8H4003",2,"20RV332","95",4,"Sun",NA,3,"bur_col",1.25567441751391,0.315298090809669,NA,NA,NA,NA
