"geno","LL_r","LL_d","LL_Lmax","LL_it","LL_is","LW_r","LW_d","LW_Lmax","LW_it","LW_is","LL_STP","LW_STP"
"13RV320",0.0194866710549751,516.453857586682,26.729855655716,363.764908546395,13.3649278335201,0.0201218106285584,479.531197523818,10.4474242848836,330.764788456184,5.22371215196018,25.0878892474483,9.85482529957613
"13RV321",0.0198384963148746,496.224496326501,21.712208043033,348.854562103989,10.8561040083624,0.0178381613201551,511.008254765068,8.911891920877,342.041977070572,4.45594595080467,21.2219232246856,8.35838256457643
"13RV325",0.0168747501265484,538.443670929848,25.7054174586385,365.06418081262,12.8527087299129,0.0193565857857006,498.332671395733,11.1847024218061,339.470345033366,5.59235122625422,25.0386905569437,10.4255688244813
"13RV327",0.0196514225232609,503.852274904613,23.937565345056,353.783846617912,11.9687826672143,0.0168947079526211,515.519184619597,10.7571626759421,340.248272408015,5.37858134616647,22.170626557904,10.5114801831807
"13RV331",0.0175882725260249,536.923872046916,32.3211145393317,368.5280469548,16.1605572913996,0.0182596042125036,494.000849574702,11.2621953596875,330.962356715036,5.63109769462635,29.6550342603126,10.4071411051189
"13RV332",0.0171650324214556,578.910195446427,27.9597813196528,402.649963858418,13.9798906661625,0.0149215379268202,567.811879928851,11.5610849391496,368.121557436154,5.78054249035871,26.1804850566063,10.7386674796821
"13RV336",0.0178803680575177,537.062001234271,27.4933509552608,372.03626077833,13.7466754870317,0.0159800995825078,526.281716955684,10.3525426876972,342.849401204824,5.17627135207357,25.717881411096,9.60869328337997
"13RV337",0.0180600497656488,543.460176902352,27.927153354654,377.563545160047,13.9635766843953,0.0174010295542231,520.535029034741,11.7254149355096,348.347492155749,5.86270748649125,26.9692789525219,10.9648790491675
"13RV034",0.0179528652611283,535.303885936458,27.3554604279342,370.278878967172,13.6777302213074,0.0165317449937732,534.083482087558,11.7712918866425,352.566312490974,5.88564596758313,26.3684627323301,10.643351860444
"13RV345",0.0175619773563124,560.961329349865,25.612317194289,388.327544637308,12.8061586000523,0.0166828820373416,527.692278791547,9.51310747724457,347.951801465591,4.75655373054998,24.9606106717295,9.04985462245006
"13RV351",0.0149455243206062,601.816680784262,26.8475731564885,401.796483603891,13.4237865824159,0.0165573747644875,536.485233854381,10.0141933146021,355.429063073336,5.0070966596938,25.3118395092332,8.62237968416352
"13RV036",0.0150393224575871,627.414964048931,20.4817938864834,401.6425880927,10.2408969265294,0.0153430826125836,531.132316469102,6.56691784602232,346.076875293423,3.28345888478192,18.8656506448776,6.91573101880488
