"geno","plant_id","tray","pot_pos","geno2","shelf","treatment","envelope","rep","cross","bd","h2_h1","h3_h2","h3_h1","i_dry","r_dry","A4","B4","A5","B5","A42","B42","AA","AB","BA","BB"
"20RV_20RV272","2L1001_2","2L1001",2,"71",1,"Shade",1372,1,"bur_col",0.625424487034454,0.0508587781926898,NA,NA,0.789301882153494,-0.448453842471167,4.31832347658201e-11,0.999999999956817,0,1,-8.88178419700125e-16,1,0,4.31832347658201e-11,0,0.999999999956817
"20RV_20RV272","5H5016_10","5H5016",10,"71",5,"Sun",1680,2,"bur_col",1.18824297761597,-0.5565218248775,0.677878461191582,0.0113568759849923,0.90251714120365,2.05561657246571,4.31832347658201e-11,0.999999999956817,0,1,-8.88178419700125e-16,1,0,4.31832347658201e-11,0,0.999999999956817
"20RV_20RV272","5L2016_10","5L2016",10,"71",2,"Shade",1306,2,"bur_col",0.427028632720756,1.57186093756389,-0.977288036207195,0.58619981645704,1.77615383613517,1.42571488266995,4.31832347658201e-11,0.999999999956817,0,1,-8.88178419700125e-16,1,0,4.31832347658201e-11,0,0.999999999956817
"20RV_20RV272","8H5016_10","8H5016",10,"71",5,"Sun",NA,3,"bur_col",1.50084858465274,NA,NA,NA,NA,NA,4.31832347658201e-11,0.999999999956817,0,1,-8.88178419700125e-16,1,0,4.31832347658201e-11,0,0.999999999956817
"20RV_20RV272","8L2016_10","8L2016",10,"71",2,"Shade",1362,3,"bur_col",0.717352592007723,0.376182795989478,0.915425197991654,0.892604367439868,2.35857464698035,1.84625188712594,4.31832347658201e-11,0.999999999956817,0,1,-8.88178419700125e-16,1,0,4.31832347658201e-11,0,0.999999999956817
"20RV_20RV272","9H4024_14","9H4024",14,"71",4,"Sun",1778,4,"bur_col",1.50084858465274,-0.121098136437449,-0.823038168044183,-0.679817612230662,NA,NA,4.31832347658201e-11,0.999999999956817,0,1,-8.88178419700125e-16,1,0,4.31832347658201e-11,0,0.999999999956817
"20RV_20RV272","9L1024_14","9L1024",14,"71",1,"Shade",1648,4,"bur_col",1.25567441751391,0.734865021849829,-0.473811537833831,0.202100211636777,0.31098203091955,0.900373236587212,4.31832347658201e-11,0.999999999956817,0,1,-8.88178419700125e-16,1,0,4.31832347658201e-11,0,0.999999999956817
"20RV_20RV274","2H4012_5","2H4012",5,"72",4,"Sun",1124,1,"bur_col",0.206208781238798,0.783271977808932,NA,NA,1.18285436649668,1.09021992240556,4.31832347658201e-11,0.999999999956817,0,1,-8.88178419700125e-16,1,0,4.31832347658201e-11,0,0.999999999956817
"20RV_20RV274","2L1012_5","2L1012",5,"72",1,"Shade",1247,1,"bur_col",0.319678694822545,0.702488611959559,NA,NA,1.50152934309236,0.838286578914026,4.31832347658201e-11,0.999999999956817,0,1,-8.88178419700125e-16,1,0,4.31832347658201e-11,0,0.999999999956817
"20RV_20RV274","5H6005_14","5H6005",14,"72",6,"Sun",1801,2,"bur_col",1.50084858465274,-0.379690321967826,-0.797611494722258,-0.850404169362451,1.02924518409462,2.06026521381448,4.31832347658201e-11,0.999999999956817,0,1,-8.88178419700125e-16,1,0,4.31832347658201e-11,0,0.999999999956817
"20RV_20RV274","5L3005_14","5L3005",14,"72",3,"Shade",1124,2,"bur_col",0.206208781238798,-0.646431853075174,1.39743516127101,0.489859212769629,1.37757929656171,0.668921277197352,4.31832347658201e-11,0.999999999956817,0,1,-8.88178419700125e-16,1,0,4.31832347658201e-11,0,0.999999999956817
"20RV_20RV274","8H5015_8","8H5015",8,"72",5,"Sun",NA,3,"bur_col",1.76207308754076,NA,NA,NA,NA,NA,4.31832347658201e-11,0.999999999956817,0,1,-8.88178419700125e-16,1,0,4.31832347658201e-11,0,0.999999999956817
"20RV_20RV274","8L2015_8","8L2015",8,"72",2,"Shade",1476,3,"bur_col",0.888521299216401,1.31091835626364,-2.78936037378662,-0.601970206802711,1.29984424616603,1.52604230255328,4.31832347658201e-11,0.999999999956817,0,1,-8.88178419700125e-16,1,0,4.31832347658201e-11,0,0.999999999956817
"20RV_20RV274","9H5018_6","9H5018",6,"72",5,"Sun",1737,4,"bur_col",1.38286460619163,0.793620611353659,0.894028744580012,1.21721597582739,1.51921677901156,2.496653816203,4.31832347658201e-11,0.999999999956817,0,1,-8.88178419700125e-16,1,0,4.31832347658201e-11,0,0.999999999956817
"20RV_20RV274","9L2018_6","9L2018",6,"72",2,"Shade",1435,4,"bur_col",0.717352592007723,0.754480929746641,1.19016897163528,1.41295773997304,2.19551038445153,1.10406206320872,4.31832347658201e-11,0.999999999956817,0,1,-8.88178419700125e-16,1,0,4.31832347658201e-11,0,0.999999999956817
