"geno","plant_id","tray","pot_pos","geno2","shelf","treatment","envelope","rep","cross","bd","h2_h1","h3_h2","h3_h1","i_dry","r_dry","A4","B4","A5","B5","AA","AB","BA","BB"
"27RV_27RV432","8L3011_4","8L3011",4,"126",3,"Shade",411,3,"oy_col",-0.477416775850869,-0.578901550248442,1.43848670298083,0.570128797308457,0.305553450251574,-0.640464966830026,0.921406293814008,0.0785937061859918,0.99999996928186,3.07181398095935e-08,0.921406265510121,2.83038873548181e-08,0.0785937037717394,2.41425245477541e-09
"27RV_27RV432","9H4013_4","9H4013",4,"126",4,"Sun",866,4,"oy_col",-0.041586431398386,0.109823887663719,0.894028744580012,0.666639429846859,0.578876194180408,-0.0236611677089957,0.921406293814008,0.0785937061859918,0.99999996928186,3.07181398095935e-08,0.921406265510121,2.83038873548181e-08,0.0785937037717394,2.41425245477541e-09
"27RV_27RV432","9L1013_4","9L1013",4,"126",1,"Shade",648,4,"oy_col",-0.041586431398386,1.00677739685673,0.141314085958641,0.844093730339241,0.935105543752072,-0.165148473863693,0.921406293814008,0.0785937061859918,0.99999996928186,3.07181398095935e-08,0.921406265510121,2.83038873548181e-08,0.0785937037717394,2.41425245477541e-09
"27RV_27RV436","2H4013_15","2H4013",15,"127",4,"Sun",919,1,"oy_col",-0.177391632843378,0.913951057201216,NA,NA,0.6895650178024,0.594567489696954,0.0785937061859927,0.921406293814007,3.07181404757273e-08,0.999999969281859,2.41425250712936e-09,0.0785937037717402,2.83038879685979e-08,0.921406265510119
"27RV_27RV436","2L1013_15","2L1013",15,"127",1,"Shade",533,1,"oy_col",-0.477416775850869,-0.220778274116125,2.00683394479007,1.29325289154297,-0.442284789966285,-0.500658567092911,0.0785937061859927,0.921406293814007,3.07181404757273e-08,0.999999969281859,2.41425250712936e-09,0.0785937037717402,2.83038879685979e-08,0.921406265510119
"27RV_27RV436","5H6023_10","5H6023",10,"127",6,"Sun",988,2,"oy_col",-0.177391632843378,-0.806427899690772,1.43848670298083,0.409733848376762,0.101224032058272,-0.165148473863693,0.0785937061859927,0.921406293814007,3.07181404757273e-08,0.999999969281859,2.41425250712936e-09,0.0785937037717402,2.83038879685979e-08,0.921406265510119
"27RV_27RV436","5L3023_10","5L3023",10,"127",3,"Shade",296,2,"oy_col",-0.823373927890408,0.616507413394464,0.936783087783038,1.10336675243363,0.603277225885519,-0.414779930955327,0.0785937061859927,0.921406293814007,3.07181404757273e-08,0.999999969281859,2.41425250712936e-09,0.0785937037717402,2.83038879685979e-08,0.921406265510119
"27RV_27RV436","8H6020_16","8H6020",16,"127",6,"Sun",1132,3,"oy_col",0.206208781238798,0.171888631593178,0.0722849822062487,0.122514410455733,0.0448299994035534,0.0477699277735943,0.0785937061859927,0.921406293814007,3.07181404757273e-08,0.999999969281859,2.41425250712936e-09,0.0785937037717402,2.83038879685979e-08,0.921406265510119
"27RV_27RV436","8L3020_16","8L3020",16,"127",3,"Shade",441,3,"oy_col",-0.477416775850869,-0.0154578154079378,1.90164339008423,1.36395559536404,0.959750469112398,0.238138672073276,0.0785937061859927,0.921406293814007,3.07181404757273e-08,0.999999969281859,2.41425250712936e-09,0.0785937037717402,2.83038879685979e-08,0.921406265510119
"27RV_27RV436","9H5007_12","9H5007",12,"127",5,"Sun",939,4,"oy_col",-0.041586431398386,1.02598479310206,-0.0906546578551972,0.698854386825025,0.285494000134903,-0.3633824938861,0.0785937061859927,0.921406293814007,3.07181404757273e-08,0.999999969281859,2.41425250712936e-09,0.0785937037717402,2.83038879685979e-08,0.921406265510119
"27RV_27RV436","9L2007_12","9L2007",12,"127",2,"Shade",144,4,"oy_col",-0.823373927890408,0.233586083725098,-0.596919669845908,-0.27301764925616,0.070134799032605,-0.538073749616228,0.0785937061859927,0.921406293814007,3.07181404757273e-08,0.999999969281859,2.41425250712936e-09,0.0785937037717402,2.83038879685979e-08,0.921406265510119
"27RV_27RV440","2H5019_10","2H5019",10,"128",5,"Sun",1492,1,"oy_col",0.804941549365692,1.64559635843143,-0.104747008829848,1.06992937729232,1.19566783869099,0.672973263781506,0.0785937061859918,0.921406293814008,3.07181404757273e-08,0.999999969281859,2.41425250712933e-09,0.0785937037717393,2.8303887968598e-08,0.92140626551012
"27RV_27RV440","2L2019_10","2L2019",10,"128",2,"Shade",1068,1,"oy_col",-0.177391632843378,0.526968124071501,-0.288982042246934,0.149304980786261,1.1710229556408,0.1770174711993,0.0785937061859918,0.921406293814008,3.07181404757273e-08,0.999999969281859,2.41425250712933e-09,0.0785937037717393,2.8303887968598e-08,0.92140626551012
"27RV_27RV440","5H4011_2","5H4011",2,"128",4,"Sun",887,2,"oy_col",-0.177391632843378,-0.206471815857444,1.02183459697733,0.52194987098399,0.492960365819264,0.477543323119608,0.0785937061859918,0.921406293814008,3.07181404757273e-08,0.999999969281859,2.41425250712933e-09,0.0785937037717393,2.8303887968598e-08,0.92140626551012
"27RV_27RV440","5L1011_2","5L1011",2,"128",1,"Shade",458,2,"oy_col",-0.477416775850869,0.675829789092,1.56086886181157,1.64220881828466,0.560337256457876,-0.423760740554411,0.0785937061859918,0.921406293814008,3.07181404757273e-08,0.999999969281859,2.41425250712933e-09,0.0785937037717393,2.8303887968598e-08,0.92140626551012
"27RV_27RV440","8H6006_15","8H6006",15,"128",6,"Sun",1165,3,"oy_col",0.206208781238798,-0.578901550248442,0.699676902061035,0.0113568759849923,-0.0593784641832565,0.784180737430852,0.0785937061859918,0.921406293814008,3.07181404757273e-08,0.999999969281859,2.41425250712933e-09,0.0785937037717393,2.8303887968598e-08,0.92140626551012
"27RV_27RV440","8L3006_15","8L3006",15,"128",3,"Shade",753,3,"oy_col",-0.041586431398386,0.948988397371548,0.435253511630953,1.00598190852017,0.397206609421151,-0.848481511573068,0.0785937061859918,0.921406293814008,3.07181404757273e-08,0.999999969281859,2.41425250712933e-09,0.0785937037717393,2.8303887968598e-08,0.92140626551012
"27RV_27RV440","9H5017_6","9H5017",6,"128",5,"Sun",954,4,"oy_col",-0.041586431398386,0.793620611353659,0.3231652366692,0.79563155839784,0.515458950318794,-0.111219053038877,0.0785937061859918,0.921406293814008,3.07181404757273e-08,0.999999969281859,2.41425250712933e-09,0.0785937037717393,2.8303887968598e-08,0.92140626551012
"27RV_27RV440","9L2017_6","9L2017",6,"128",2,"Shade",1291,4,"oy_col",0.427028632720756,-0.69178876840553,1.96091019350068,0.908785274644174,1.19619963701722,1.20075479543848,0.0785937061859918,0.921406293814008,3.07181404757273e-08,0.999999969281859,2.41425250712933e-09,0.0785937037717393,2.8303887968598e-08,0.92140626551012
"27RV_27RV441","2H4005_16","2H4005",16,"129",4,"Sun",418,1,"oy_col",-0.823373927890408,2.02721493346203,-0.360418034702793,1.49850209221709,0.359050376774559,-0.559338365778017,0.921406293814008,0.0785937061859916,3.07181404757273e-08,0.999999969281859,2.8303887968598e-08,0.92140626551012,2.41425250712933e-09,0.0785937037717391
"27RV_27RV441","2L1005_16","2L1005",16,"129",1,"Shade",44,1,"oy_col",-1.45837633437157,1.57186093756389,-0.516704765144867,1.17578744233898,-0.196411559094899,-1.17051390814518,0.921406293814008,0.0785937061859916,3.07181404757273e-08,0.999999969281859,2.8303887968598e-08,0.92140626551012,2.41425250712933e-09,0.0785937037717391
"27RV_27RV441","5H5004_6","5H5004",6,"129",5,"Sun",659,2,"oy_col",-0.477416775850869,-0.336062828260924,1.62163544269682,0.892604367439868,0.272600321498854,0.187666201951943,0.921406293814008,0.0785937061859916,3.07181404757273e-08,0.999999969281859,2.8303887968598e-08,0.92140626551012,2.41425250712933e-09,0.0785937037717391
"27RV_27RV441","5L2004_6","5L2004",6,"129",2,"Shade",168,2,"oy_col",-0.823373927890408,0.315298090809669,2.05913604331289,1.75718174655488,0.754410738160696,0.0341463183555062,0.921406293814008,0.0785937061859916,3.07181404757273e-08,0.999999969281859,2.8303887968598e-08,0.92140626551012,2.41425250712933e-09,0.0785937037717391
