"plant_id","tray","pot_pos","geno","geno2","shelf","treatment","envelope","rep","cross","bd","h3_h1","i_dry","r_dry"
"2H4006_4","2H4006",4,"8RV053","17",4,"Sun",164,1,"cvi_col",-1.4358498330304,-0.0213063336722642,-1.15058083143623,-0.214679115614456
"2H4006_5","2H4006",5,"29RV120","20",4,"Sun",166,1,"ita_col",-1.4358498330304,0.350352954707832,-0.551531685882488,-0.867006361513274
"2H4006_6","2H4006",6,"27RV384","108",4,"Sun",1461,1,"oy_col",0.187423883105303,NA,1.53316709850666,0.970129602947121
"2H4006_8","2H4006",8,"21RV019","4",4,"Sun",165,1,"blh_col",-1.4358498330304,1.04686910276309,-0.266062125122086,0.0595264607127076
"2H4006_9","2H4006",9,"20RV017","7",4,"Sun",NA,1,"bur_col",1.58249310859434,-0.789132719663549,NA,NA
"2H4007_1","2H4007",1,"13RV479","141",4,"Sun",NA,1,"sha_col",1.12016370733099,1.25307218986115,NA,NA
"2H4007_10","2H4007",10,"28RV190","48",4,"Sun",686,1,"jea_col",-0.490407063498618,0.223586367923092,-0.357503508641911,0.682918937716436
"2H4007_11","2H4007",11,"28RV138","41",4,"Sun",1280,1,"jea_col",0.410114698004073,NA,0.367706306641433,0.916064906650034
"2H4007_12","2H4007",12,"13RV337","108",4,"Sun",1119,1,"sha_col",0.187423883105303,NA,0.853901074707144,0.332518351738699
"2H4007_13","2H4007",13,"27RV371","104",4,"Sun",160,1,"oy_col",-1.4358498330304,1.29412360654534,0.145685339557497,-1.01695168772163
"2H4007_14","2H4007",14,"13RV320","101",4,"Sun",414,1,"sha_col",-0.827273937535105,1.67689371714636,0.350164295093931,-1.22709132063523
"2H4007_15","2H4007",15,"21RV050","15",4,"Sun",NA,1,"blh_col",1.90275823628666,NA,NA,NA
"2H4007_16","2H4007",16,"29RV072","13",4,"Sun",915,1,"ita_col",-0.194996438790942,NA,0.178329070137107,0.110906158882546
"2H4007_2","2H4007",2,"29RV542","124",4,"Sun",158,1,"ita_col",-1.4358498330304,1.94646740676002,-0.157709672952012,-1.02494287874117
